,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.5060199857743736,0.17625720250471316,0.9999999789695413,0.7834424424802247,0.7834408755889468,0.1762573121871026,0.6131404042243958
Target Cross Attn,0.39197841077446305,0.13653417394253065,0.7746303086090963,0.6068782389674371,0.6068770481300658,0.13653425228709454,0.474957138299942
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.237478569149971
Fusion Layer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
