,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.4545613184213145,0.15833325498435488,0.8983071659360191,0.45456121860063403,0.45456146815233517,0.9999999832528688,0.6916607022285461
Target Cross Attn,0.2458497763371132,0.0856346332581044,0.4858499609788878,0.24584972642677297,0.2458498262474534,0.5408505569854647,0.37408509850502014
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.22610972076654434
Fusion Layer,0.0513501069313966,0.017886320276672325,0.10147842745040259,0.051350097573207805,0.051350119408981654,0.11296629046055678,0.07813434302806854
