,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.2856197632530697,0.0994870393181199,0.564443825718663,0.44220913700921355,0.2856195711082596,0.09948705853260092,0.564443826675415
Target Cross Attn,0.2917070261255214,0.1016073572981299,0.5764735127056752,0.45163372466020607,0.2917068339807113,0.10160737651261091,0.5764735341072083
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.7882367670536041
Fusion Layer,0.506019813596779,0.17625675930319243,0.99999998710538,0.7834422565302489,0.5060194677361206,0.17625679773215444,1.0
