,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.24996135645502374,0.08706651057278088,0.49397540831730935,0.38700124471962727,0.24996118352469462,0.08706652978726188,0.493975430727005
Target Cross Attn,0.2148643775777563,0.07484153720797244,0.4246165503366503,0.33266253869323753,0.2148642430763892,0.0748415516188332,0.4246165454387665
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.7123082727193832
Fusion Layer,0.506019813596779,0.17625675930319243,0.99999998710538,0.7834422565302489,0.5060194677361206,0.17625679773215444,1.0
