,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.3431782685091034,0.11953607081454477,0.6781911486557549,0.5313236807070776,0.5313226431247838,0.11953614767249246,0.6781911253929138
Target Cross Attn,0.198920589032145,0.06928814597379467,0.3931081887876696,0.30797763589945065,0.3079770210358691,0.06928819401001197,0.39310818910598755
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.6965540945529938
Fusion Layer,0.5060199691633563,0.176257197779862,0.9999999871053761,0.7834424205273571,0.7834408833684033,0.17625731306678355,1.0
