,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.21986664477079595,0.07658408949273533,0.43450187607213436,0.21986662555630757,0.21986660634181918,0.07658405106375854,0.43450188636779785
Target Cross Attn,0.32482315526526695,0.11314261270299199,0.6419176284328388,0.32482315526526695,0.32482311683629017,0.11314255505952679,0.6419176459312439
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.820958822965622
Fusion Layer,0.5060200080550157,0.17625721132662953,0.9999999871053751,0.5060199696260389,0.5060198927680852,0.17625711525418755,1.0
