,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.454561336259906,0.15833325667493975,0.8983071791103444,0.45456124199190534,0.4545614619505736,0.9999999789126052,0.549301266670227
Target Cross Attn,0.4048911182033452,0.1410320619728843,0.8001485494991666,0.40489102393534454,0.4048912124713459,0.890729288761799,0.48927873373031616
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.39057281613349915
Fusion Layer,0.24152759532108858,0.08412912370795964,0.4773084562069735,0.24152753247575479,0.24152764245508893,0.5313420886339926,0.29186689853668213
