,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.5060199567372077,0.1762571945501901,0.9999999763439523,0.7834424131763457,0.7834408621649925,0.17625730030096418,0.5450878143310547
Target Cross Attn,0.411248228022926,0.14324624441518066,0.8127114074208213,0.6367126501373517,0.6367113811280628,0.14324633254082575,0.44299912452697754
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.34581655263900757
Fusion Layer,0.23081373689557608,0.08039718461985955,0.45613562459167206,0.3573560120403054,0.3573553070351449,0.08039723749524658,0.2486339807510376
