,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.45456114730633357,0.15833306211719278,0.8983068444633391,0.7037719406825247,0.703771878259287,0.9999999790542372,0.553015410900116
Target Cross Attn,0.33914800931984024,0.11813227080832711,0.6702265667130751,0.5250841745423043,0.5250841121190666,0.7460998272218656,0.4126047194004059
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.4598558098077774
Fusion Layer,0.4168258319932495,0.1451890535408888,0.8237339848405626,0.6453484095936407,0.6453483471704031,0.9169851256227639,0.5071069002151489
