,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.5060198058333317,0.17625675664402154,0.9999999739615979,0.783442239444561,0.5060194566311476,0.17625679544426423,0.4952154755592346
Target Cross Attn,0.4500091723001629,0.15674713131596307,0.889311340030563,0.696724085043165,0.4500088618982214,0.15674717011620576,0.44040074944496155
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.22020037472248077
Fusion Layer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
