,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.506019936241303,0.17625683033376915,0.9999999703156538,0.783442562945089,0.5060198920081802,0.1762568856251727,0.43439140915870667
Target Cross Attn,0.44981056271687464,0.15667797847081794,0.8889186559684191,0.6964166804810846,0.4498105184837518,0.15667803376222145,0.3861386179924011
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.19306930899620056
Fusion Layer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
