,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.29155800856075714,0.10155576983508742,0.5761789053193355,0.2915579535095572,0.291558063611957,0.6414051634492253,0.4022067189216614
Target Cross Attn,0.45456136345279124,0.15833325150186153,0.8983072030190364,0.45456125335039144,0.45456147355519105,0.9999999815278825,0.6270712018013
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.33080926537513733
Fusion Layer,0.025043217482680923,0.0087230785285574,0.049490574540411586,0.025043212321630932,0.02504322436408091,0.05509315235804143,0.03454732894897461
