,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.27350971112650974,0.09526888248276816,0.5405117056061486,0.42345988602389745,0.2735096919120213,0.09526891130450076,0.5405117273330688
Target Cross Attn,0.26963632005362625,0.09391970835810177,0.5328571145757199,0.417462928907648,0.26963630083913787,0.09391973717983437,0.5328571200370789
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.7664285600185394
Fusion Layer,0.5060199311970621,0.17625682703686155,0.9999999871053751,0.783442557599092,0.5060198927680852,0.17625688468032674,1.0
