,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.3851664162293265,0.13416141924913744,0.7611683708551691,0.3851664162293265,0.38516633405011236,0.13416134734232507,0.7118812799453735
Target Cross Attn,0.2092906121576475,0.07290024094694197,0.4136014515651065,0.2092906121576475,0.20929057106804042,0.07290019985733491,0.386819988489151
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.661034032702446
Fusion Layer,0.5060199903491962,0.1762571978045452,0.9999999862126157,0.506019949259589,0.5060198670803749,0.17625711562533106,0.935248076915741
