,Molecular Weight (X),Sequence Length (Y),Binding Score (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.5060199935052564,0.1762572108209753,0.9999999698712853,0.5060199486099729,0.5060199037146893,0.17625712103040822,0.4279845654964447
Target Cross Attn,0.4613372891347837,0.16069329553392278,0.9116976814445203,0.4613372442395002,0.46133715444893314,0.16069320574335572,0.39019253849983215
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.3767380714416504
Fusion Layer,0.4295219770838609,0.14961136619303841,0.8488240816136928,0.42952193218857737,0.4295218872932938,0.14961128762629222,0.36328360438346863
