,Drug Complexity (X),Protein Length (Y),Size Match Ratio (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.44569203410300107,0.15524341630815688,0.8807795375618553,0.690040196565332,0.44569199945129584,0.1552434682857147,0.4883952736854553
Target Cross Attn,0.5060199251611781,0.17625681674306856,0.9999999767456343,0.7834425511528693,0.5060198905094729,0.17625688604647896,0.5545033812522888
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.42983703315258026
Fusion Layer,0.2784878367352291,0.09700285734164601,0.5503495050997158,0.4311672520950614,0.2784878020835239,0.09700289199335121,0.3051706850528717
