,Activity Score (X),Expression Level (Y),MOA Similarity (Z),Drug Emb Dim1,Drug Emb Dim2,Target Emb Dim1,Core Point Weight
Drug Cross Attn,0.3455165564799062,0.1203505655783958,0.6828121540134311,0.5349441966570498,0.5349441542748558,0.7601101557719147,0.6191225647926331
Target Cross Attn,0.33410856249563015,0.11637692761427926,0.6602675816156449,0.5172818411041094,0.5172817987219154,0.7350134547943632,0.598680853843689
Joint Cross Attn,0.0,0.0,0.0,0.0,0.0,0.0,0.7065988779067993
Fusion Layer,0.4545611949928731,0.15833306407383585,0.8983068778833445,0.7037719714108919,0.7037718866465037,0.9999999857788955,0.8145169019699097
